time_iso,time_unix,electric_powerDemand,gnss_altitude,gnss_course,gnss_latitude,gnss_longitude,itcs_busRoute,itcs_numberOfPassengers,itcs_stopName,odometry_articulationAngle,odometry_steeringAngle,odometry_vehicleSpeed,odometry_wheelSpeed_fl,odometry_wheelSpeed_fr,odometry_wheelSpeed_ml,odometry_wheelSpeed_mr,odometry_wheelSpeed_rl,odometry_wheelSpeed_rr,status_doorIsOpen,status_gridIsAvailable,status_haltBrakeIsActive,status_parkBrakeIsActive,temperature_ambient,traction_brakePressure,traction_tractionForce
"2021-07-26T03:54:04Z",1627271644,13205.09,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,296.15,262500,0
"2021-07-26T03:54:05Z",1627271645,13485.23,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,296.15,262500,0
"2021-07-26T03:54:06Z",1627271646,13265.3,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,296.15,262500,0
"2021-07-26T03:54:07Z",1627271647,13250.23,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,296.15,262500,0
"2021-07-26T03:54:08Z",1627271648,13254.44,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,296.15,262500,0
"2021-07-26T03:54:09Z",1627271649,13376.61,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,296.15,262500,0
"2021-07-26T03:54:10Z",1627271650,13482.76,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,295.6755,262500,0
"2021-07-26T03:54:11Z",1627271651,13600.81,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,295.15,262666.7,0
"2021-07-26T03:54:12Z",1627271652,13959.15,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,295.15,262500,0
"2021-07-26T03:54:13Z",1627271653,14085.08,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,295.15,262666.7,0
"2021-07-26T03:54:14Z",1627271654,14067.84,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,295.15,262500,0
"2021-07-26T03:54:15Z",1627271655,14429.58,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,295.15,263176.6,0
"2021-07-26T03:54:16Z",1627271656,14420.67,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,295.15,262500,0
"2021-07-26T03:54:17Z",1627271657,14364.75,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,1,1,1,1,295.15,262648.5,0
"2021-07-26T03:54:18Z",1627271658,14211.16,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,1,295.15,262500,0
"2021-07-26T03:54:19Z",1627271659,14225.83,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,1,295.623,262500,0
"2021-07-26T03:54:20Z",1627271660,14060.21,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,1,296.15,260470.3,0
"2021-07-26T03:54:21Z",1627271661,9533.596,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,1,295.6765,264166.7,0
"2021-07-26T03:54:22Z",1627271662,9462.08,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,295.6235,263047.2,0
"2021-07-26T03:54:23Z",1627271663,9246.273,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,261666.7,0
"2021-07-26T03:54:24Z",1627271664,9106.063,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,260833.3,0
"2021-07-26T03:54:25Z",1627271665,9470.5,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,259166.7,-4.158096
"2021-07-26T03:54:26Z",1627271666,9909.601,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,-0.01293583,0,0,0,0,0,0,0,1,1,0,296.15,256166.7,2560.622
"2021-07-26T03:54:27Z",1627271667,10510.14,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0.00383751,0,0,0,0,0,0,0,1,0,0,296.15,0,1381.166
"2021-07-26T03:54:28Z",1627271668,12449.24,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0.1798969,0,0,0,0,0,0,0,1,0,0,296.15,0,6817.29
"2021-07-26T03:54:29Z",1627271669,12606.62,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0.3672049,0,0,0,0,0,0,0,1,0,0,296.15,0,5305.959
"2021-07-26T03:54:30Z",1627271670,10335.67,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0.3904448,0,0,0,0,0,0,0,1,0,0,296.15,0,12.13493
"2021-07-26T03:54:31Z",1627271671,9377.975,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0.1303131,0,0,0,0,0,0,0,1,0,0,296.15,84023.57,20.46073
"2021-07-26T03:54:32Z",1627271672,9648.278,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,0,0,296.15,223945.6,0.8786439
"2021-07-26T03:54:33Z",1627271673,9941.237,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,242200,3.310716
"2021-07-26T03:54:34Z",1627271674,9267.689,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,242800,0
"2021-07-26T03:54:35Z",1627271675,9494.438,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,240833.3,0
"2021-07-26T03:54:36Z",1627271676,9128.856,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,240833.3,0
"2021-07-26T03:54:37Z",1627271677,9375.412,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,240833.3,0
"2021-07-26T03:54:38Z",1627271678,9300.032,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,243333.3,0
"2021-07-26T03:54:39Z",1627271679,9037.272,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,243333.3,0
"2021-07-26T03:54:40Z",1627271680,9681.889,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,243333.3,0
"2021-07-26T03:54:41Z",1627271681,9525.436,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:54:42Z",1627271682,9548.797,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,243333.3,0
"2021-07-26T03:54:43Z",1627271683,9701.693,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,243333.3,0
"2021-07-26T03:54:44Z",1627271684,9352.814,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:54:45Z",1627271685,8691.793,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:54:46Z",1627271686,9262.266,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,243333.3,0
"2021-07-26T03:54:47Z",1627271687,9170.364,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,243333.3,0
"2021-07-26T03:54:48Z",1627271688,8980.381,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,243333.3,0
"2021-07-26T03:54:49Z",1627271689,9092.893,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,243333.3,0
"2021-07-26T03:54:50Z",1627271690,9136.801,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,243333.3,0
"2021-07-26T03:54:51Z",1627271691,9136.279,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,245140.3,0
"2021-07-26T03:54:52Z",1627271692,8815.425,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,245833.3,0
"2021-07-26T03:54:53Z",1627271693,8913.865,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,245000,0
"2021-07-26T03:54:54Z",1627271694,8552.495,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,245000,0
"2021-07-26T03:54:55Z",1627271695,8640.727,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,245000,0
"2021-07-26T03:54:56Z",1627271696,8728.089,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244308.3,0
"2021-07-26T03:54:57Z",1627271697,9141.513,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:54:58Z",1627271698,8542.341,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244866.7,0
"2021-07-26T03:54:59Z",1627271699,8796.679,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,245000,0
"2021-07-26T03:55:00Z",1627271700,9043.621,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,245000,0
"2021-07-26T03:55:01Z",1627271701,8846.206,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244866.7,0
"2021-07-26T03:55:02Z",1627271702,9181.936,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:03Z",1627271703,8963.886,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:04Z",1627271704,9263.111,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,295.679,244166.7,0
"2021-07-26T03:55:05Z",1627271705,9517.076,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,295.15,244166.7,0
"2021-07-26T03:55:06Z",1627271706,8755.111,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,295.6209,244166.7,0
"2021-07-26T03:55:07Z",1627271707,9300.299,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:08Z",1627271708,9148.302,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,295.6795,244166.7,0
"2021-07-26T03:55:09Z",1627271709,8489.888,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,295.6215,244166.7,0
"2021-07-26T03:55:10Z",1627271710,9091.315,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:11Z",1627271711,9069.221,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:12Z",1627271712,8601.206,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:13Z",1627271713,8841.063,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:14Z",1627271714,8817.55,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:15Z",1627271715,8724.253,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:16Z",1627271716,8549.829,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:17Z",1627271717,8675.973,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:18Z",1627271718,9143.432,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:19Z",1627271719,8226.828,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:20Z",1627271720,8471.895,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244166.7,0
"2021-07-26T03:55:21Z",1627271721,9141.148,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244882.2,0
"2021-07-26T03:55:22Z",1627271722,8108.344,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,245000,0
"2021-07-26T03:55:23Z",1627271723,8310.455,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,244876.2,0
"2021-07-26T03:55:24Z",1627271724,8945.372,NaN,NaN,NaN,NaN,"-",NaN,"-",0.01745333,-0,0,0,0,0,0,0,0,0,1,1,0,296.15,245000,0
